uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|26.03.2019|PRG|11:35|FAO|21:35|11:00|773|PRG|11:35|EIN|13:00|Ryanair|388||EIN|11:35|FAO|21:35|Ryanair|385||25.01.2019|Friday|út
1|26.03.2019|PRG|07:20|FAO|22:05|15:45|833|PRG|07:20|STN|08:30|Ryanair|388||STN|07:20|FAO|22:05|Ryanair|444||25.01.2019|Friday|út
2|19.03.2019|PRG|11:35|FAO|21:35|11:00|871|PRG|11:35|EIN|13:00|Ryanair|486||EIN|11:35|FAO|21:35|Ryanair|385||25.01.2019|Friday|út
3|12.03.2019|PRG|11:35|FAO|21:35|11:00|871|PRG|11:35|EIN|13:00|Ryanair|486||EIN|11:35|FAO|21:35|Ryanair|385||25.01.2019|Friday|út
4|26.02.2019|PRG|11:35|FAO|21:35|11:00|913|PRG|11:35|EIN|13:00|Ryanair|528||EIN|11:35|FAO|21:35|Ryanair|385|2|25.01.2019|Friday|út
5|03.04.2019|PRG|07:50|FAO|13:05|6:15|999|PRG|07:50|EIN|09:15|Ryanair|486||EIN|07:50|FAO|13:05|Ryanair|513||25.01.2019|Friday|st
6|02.04.2019|PRG|06:15|FAO|17:10|11:55|1076|PRG|06:15|CRL|07:50|Ryanair|486||CRL|06:15|FAO|17:10|Ryanair|590||25.01.2019|Friday|út
7|14.05.2019|PRG|06:35|FAO|18:55|13:20|1078|PRG|06:35|STN|07:35|Ryanair|486||STN|06:35|FAO|18:55|Ryanair|592|2|25.01.2019|Friday|út
8|15.05.2019|PRG|08:55|FAO|15:50|7:55|1119|PRG|08:55|CRL|10:30|Ryanair|528|5|CRL|08:55|FAO|15:50|Ryanair|590|1|25.01.2019|Friday|st
9|14.05.2019|PRG|06:15|FAO|17:10|11:55|1119|PRG|06:15|CRL|07:50|Ryanair|528||CRL|06:15|FAO|17:10|Ryanair|590||25.01.2019|Friday|út
10|12.03.2019|PRG|07:20|FAO|22:05|15:45|1120|PRG|07:20|STN|08:30|Ryanair|676||STN|07:20|FAO|22:05|Ryanair|444|4|25.01.2019|Friday|út
11|07.03.2019|PRG|07:20|FAO|22:05|15:45|1120|PRG|07:20|STN|08:30|Ryanair|676||STN|07:20|FAO|22:05|Ryanair|444|2|25.01.2019|Friday|čt
12|20.05.2019|PRG|06:15|FAO|18:15|13:00|1127|PRG|06:15|CRL|07:50|Ryanair|486||CRL|06:15|FAO|18:15|Ryanair|641||25.01.2019|Friday|po
13|12.02.2019|PRG|11:35|FAO|21:35|11:00|1151|PRG|11:35|EIN|13:00|Ryanair|438||EIN|11:35|FAO|21:35|Ryanair|712||25.01.2019|Friday|út
14|21.05.2019|PRG|06:15|FAO|17:10|11:55|1170|PRG|06:15|CRL|07:50|Ryanair|528||CRL|06:15|FAO|17:10|Ryanair|641||25.01.2019|Friday|út
15|11.06.2019|PRG|06:15|FAO|17:10|11:55|1170|PRG|06:15|CRL|07:50|Ryanair|528|1|CRL|06:15|FAO|17:10|Ryanair|641|3|25.01.2019|Friday|út
16|19.06.2019|PRG|08:55|FAO|15:50|7:55|1170|PRG|08:55|CRL|10:30|Ryanair|528||CRL|08:55|FAO|15:50|Ryanair|641|2|25.01.2019|Friday|st
