date_of_departure,departure_airport,time_of_departure,arrival_airport,time_of_arrival,flight_duration,flight_fare,departure_airport_flight1,time_of_departure_flight_1,arrival_airport_flight_1,time_of_arrival_flight_1,airlines_flight_1,flight_fare_flight_1,seats_for_lower_price_flight_1,departure_airport_flight_2,time_of_departure_flight_2,arrival_airport_flight_2,time_of_arrival_flight_2,airlines_flight_2,flight_fare_flight_2,seats_for_lower_price_flight_2
út 26.03.2019,PRG,11:35,FAO,21:35 Faro ,11:00 h / 1 přestup,773 Kč,PRG,11:35,EIN,13:00 Eindhoven ,Ryanair,389 Kč,       ,EIN,út 11:35 Praha ,FAO,21:35 Faro ,Ryanair,384 Kč,       
út 19.03.2019,PRG,11:35,FAO,21:35 Faro ,11:00 h / 1 přestup,947 Kč,PRG,11:35,EIN,13:00 Eindhoven ,Ryanair,485 Kč,       ,EIN,út 11:35 Praha ,FAO,21:35 Faro ,Ryanair,461 Kč,       
út 12.03.2019,PRG,11:35,FAO,21:35 Faro ,11:00 h / 1 přestup,947 Kč,PRG,11:35,EIN,13:00 Eindhoven ,Ryanair,485 Kč,       ,EIN,út 11:35 Praha ,FAO,21:35 Faro ,Ryanair,461 Kč,       
út 26.02.2019,PRG,11:35,FAO,21:35 Faro ,11:00 h / 1 přestup,990 Kč,PRG,11:35,EIN,13:00 Eindhoven ,Ryanair,529 Kč,       ,EIN,út 11:35 Praha ,FAO,21:35 Faro ,Ryanair,461 Kč,2       
st 03.04.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,998 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,485 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,513 Kč,       
čt 28.02.2019,PRG,07:20,FAO,22:05 Faro ,15:45 h / 1 přestup,1071 Kč,PRG,07:20,STN,08:30 Londýn ,Ryanair,774 Kč,3       ,STN,čt 07:20 Praha ,FAO,22:05 Faro ,Ryanair,296 Kč,       
út 02.04.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1075 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,485 Kč,       ,CRL,út 06:15 Praha ,FAO,17:10 Faro ,Ryanair,590 Kč,1       
út 26.03.2019,PRG,07:20,FAO,22:05 Faro ,15:45 h / 1 přestup,1122 Kč,PRG,07:20,STN,08:30 Londýn ,Ryanair,676 Kč,       ,STN,út 07:20 Praha ,FAO,22:05 Faro ,Ryanair,445 Kč,       
st 12.06.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1170 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,529 Kč,2       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,641 Kč,4       
út 14.05.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1170 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,út 06:15 Praha ,FAO,17:10 Faro ,Ryanair,641 Kč,       
út 18.06.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1170 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,út 06:15 Praha ,FAO,17:10 Faro ,Ryanair,641 Kč,       
st 15.05.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1170 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,529 Kč,3       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,641 Kč,       
