uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|26.03.2019|PRG|11:35|FAO|21:35|11:00|673|PRG|11:35|EIN|13:00|Ryanair|338||EIN|11:35|FAO|21:35|Ryanair|334||30.01.2019|Wednesday|út
1|26.02.2019|PRG|11:35|FAO|21:35|11:00|723|PRG|11:35|EIN|13:00|Ryanair|388||EIN|11:35|FAO|21:35|Ryanair|334|4|30.01.2019|Wednesday|út
2|03.04.2019|PRG|07:50|FAO|13:05|6:15|826|PRG|07:50|EIN|09:15|Ryanair|388||EIN|07:50|FAO|13:05|Ryanair|437||30.01.2019|Wednesday|st
3|03.04.2019|PRG|08:55|FAO|15:50|7:55|904|PRG|08:55|CRL|10:30|Ryanair|388||CRL|08:55|FAO|15:50|Ryanair|515|4|30.01.2019|Wednesday|st
4|02.04.2019|PRG|06:15|FAO|17:10|11:55|904|PRG|06:15|CRL|07:50|Ryanair|388||CRL|06:15|FAO|17:10|Ryanair|515||30.01.2019|Wednesday|út
5|19.03.2019|PRG|11:35|FAO|21:35|11:00|1053|PRG|11:35|EIN|13:00|Ryanair|338||EIN|11:35|FAO|21:35|Ryanair|714||30.01.2019|Wednesday|út
6|12.03.2019|PRG|11:35|FAO|21:35|11:00|1053|PRG|11:35|EIN|13:00|Ryanair|338||EIN|11:35|FAO|21:35|Ryanair|714||30.01.2019|Wednesday|út
7|26.03.2019|PRG|07:20|FAO|22:05|15:45|1059|PRG|07:20|STN|08:30|Ryanair|676||STN|07:20|FAO|22:05|Ryanair|382|5|30.01.2019|Wednesday|út
8|08.05.2019|PRG|07:50|FAO|13:05|6:15|1121|PRG|07:50|EIN|09:15|Ryanair|529||EIN|07:50|FAO|13:05|Ryanair|592||30.01.2019|Wednesday|st
9|18.06.2019|PRG|06:15|FAO|17:10|11:55|1173|PRG|06:15|CRL|07:50|Ryanair|529||CRL|06:15|FAO|17:10|Ryanair|644|5|30.01.2019|Wednesday|út
10|15.05.2019|PRG|08:55|FAO|15:50|7:55|1173|PRG|08:55|CRL|10:30|Ryanair|529|1|CRL|08:55|FAO|15:50|Ryanair|644||30.01.2019|Wednesday|st
11|30.04.2019|PRG|06:15|FAO|17:10|11:55|1173|PRG|06:15|CRL|07:50|Ryanair|529||CRL|06:15|FAO|17:10|Ryanair|644||30.01.2019|Wednesday|út
12|09.05.2019|PRG|06:15|FAO|15:50|10:35|1173|PRG|06:15|CRL|07:50|Ryanair|529||CRL|06:15|FAO|15:50|Ryanair|644|3|30.01.2019|Wednesday|čt
13|14.05.2019|PRG|06:15|FAO|17:10|11:55|1173|PRG|06:15|CRL|07:50|Ryanair|529||CRL|06:15|FAO|17:10|Ryanair|644||30.01.2019|Wednesday|út
14|17.05.2019|PRG|06:15|FAO|15:50|10:35|1173|PRG|06:15|CRL|07:50|Ryanair|529||CRL|06:15|FAO|15:50|Ryanair|644|2|30.01.2019|Wednesday|pá
15|21.05.2019|PRG|06:15|FAO|17:10|11:55|1173|PRG|06:15|CRL|07:50|Ryanair|529||CRL|06:15|FAO|17:10|Ryanair|644||30.01.2019|Wednesday|út
16|20.05.2019|PRG|06:15|FAO|18:15|13:00|1173|PRG|06:15|CRL|07:50|Ryanair|529||CRL|06:15|FAO|18:15|Ryanair|644|4|30.01.2019|Wednesday|po
17|03.04.2019|PRG|10:50|FAO|19:50|10:00|716|PRG|10:50|SEN|11:45|easyJet|333|8|SEN|10:50|FAO|19:50|Ryanair|382|5|30.01.2019|Wednesday|st
18|04.04.2019|PRG|06:15|FAO|15:50|10:35|1187|PRG|06:15|CRL|07:50|Ryanair|388||CRL|06:15|FAO|15:50|Ryanair|798||30.01.2019|Wednesday|čt
19|19.03.2019|PRG|07:20|FAO|22:05|15:45|1198|PRG|07:20|STN|08:30|Ryanair|815||STN|07:20|FAO|22:05|Ryanair|382||30.01.2019|Wednesday|út
20|04.06.2019|PRG|06:15|FAO|17:10|11:55|1201|PRG|06:15|CRL|07:50|Ryanair|529|5|CRL|06:15|FAO|17:10|Ryanair|672|3|30.01.2019|Wednesday|út
21|16.05.2019|PRG|06:15|FAO|15:50|10:35|1201|PRG|06:15|CRL|07:50|Ryanair|529||CRL|06:15|FAO|15:50|Ryanair|672|3|30.01.2019|Wednesday|čt
22|02.05.2019|PRG|06:15|FAO|15:50|10:35|1201|PRG|06:15|CRL|07:50|Ryanair|529||CRL|06:15|FAO|15:50|Ryanair|672||30.01.2019|Wednesday|čt
23|07.05.2019|PRG|06:15|FAO|17:10|11:55|1201|PRG|06:15|CRL|07:50|Ryanair|529||CRL|06:15|FAO|17:10|Ryanair|672||30.01.2019|Wednesday|út
24|22.05.2019|PRG|08:55|FAO|15:50|7:55|1201|PRG|08:55|CRL|10:30|Ryanair|529||CRL|08:55|FAO|15:50|Ryanair|672||30.01.2019|Wednesday|st
25|19.06.2019|PRG|08:55|FAO|15:50|7:55|1201|PRG|08:55|CRL|10:30|Ryanair|529|3|CRL|08:55|FAO|15:50|Ryanair|672||30.01.2019|Wednesday|st
26|20.06.2019|PRG|06:15|FAO|15:50|10:35|1201|PRG|06:15|CRL|07:50|Ryanair|529|1|CRL|06:15|FAO|15:50|Ryanair|672|2|30.01.2019|Wednesday|čt
27|14.05.2019|PRG|06:35|FAO|18:55|13:20|1206|PRG|06:35|STN|07:35|Ryanair|529|5|STN|06:35|FAO|18:55|Ryanair|677|4|30.01.2019|Wednesday|út
28|29.05.2019|PRG|06:35|FAO|20:55|15:20|1206|PRG|06:35|STN|07:35|Ryanair|529||STN|06:35|FAO|20:55|Ryanair|677||30.01.2019|Wednesday|st
29|30.04.2019|PRG|06:35|FAO|18:55|13:20|1206|PRG|06:35|STN|07:35|Ryanair|676||STN|06:35|FAO|18:55|Ryanair|530||30.01.2019|Wednesday|út
30|03.04.2019|PRG|16:10|FAO|22:30|7:20|1223|PRG|16:10|DUB|17:40|Ryanair|579||DUB|16:10|FAO|22:30|Ryanair|644||30.01.2019|Wednesday|st
31|02.04.2019|PRG|15:25|FAO|22:30|8:05|1223|PRG|15:25|DUB|16:55|Ryanair|579|5|DUB|15:25|FAO|22:30|Ryanair|644||30.01.2019|Wednesday|út
32|26.06.2019|PRG|07:50|FAO|13:05|6:15|1243|PRG|07:50|EIN|09:15|Ryanair|529||EIN|07:50|FAO|13:05|Ryanair|714||30.01.2019|Wednesday|st
33|12.06.2019|PRG|07:50|FAO|13:05|6:15|1243|PRG|07:50|EIN|09:15|Ryanair|529||EIN|07:50|FAO|13:05|Ryanair|714|1|30.01.2019|Wednesday|st
34|19.06.2019|PRG|07:50|FAO|13:05|6:15|1243|PRG|07:50|EIN|09:15|Ryanair|529||EIN|07:50|FAO|13:05|Ryanair|714|3|30.01.2019|Wednesday|st
35|19.02.2019|PRG|11:35|FAO|21:35|11:00|1250|PRG|11:35|EIN|13:00|Ryanair|388||EIN|11:35|FAO|21:35|Ryanair|862|5|30.01.2019|Wednesday|út
36|16.03.2019|PRG|07:20|FAO|22:05|15:45|1287|PRG|07:20|STN|08:30|Ryanair|845|2|STN|07:20|FAO|22:05|Ryanair|441|2|30.01.2019|Wednesday|so
37|26.02.2019|PRG|11:35|FAO|18:15|7:40|1033|PRG|11:35|EIN|13:00|Ryanair|388||EIN|11:35|FAO|18:15|Transavia|644||30.01.2019|Wednesday|út
38|03.04.2019|PRG|11:40|FAO|17:55|7:15|1302|PRG|11:40|STN|12:40|Ryanair|388||STN|11:40|FAO|17:55|Ryanair|913||30.01.2019|Wednesday|st
39|03.04.2019|PRG|06:35|FAO|17:55|12:20|1302|PRG|06:35|STN|07:35|Ryanair|388||STN|06:35|FAO|17:55|Ryanair|913||30.01.2019|Wednesday|st
40|04.04.2019|PRG|06:35|FAO|22:10|16:35|1302|PRG|06:35|STN|07:35|Ryanair|388||STN|06:35|FAO|22:10|Ryanair|913||30.01.2019|Wednesday|čt
41|03.04.2019|PRG|11:40|FAO|20:55|10:15|1302|PRG|11:40|STN|12:40|Ryanair|388||STN|11:40|FAO|20:55|Ryanair|913||30.01.2019|Wednesday|st
42|02.04.2019|PRG|06:35|FAO|18:55|13:20|1302|PRG|06:35|STN|07:35|Ryanair|388||STN|06:35|FAO|18:55|Ryanair|913||30.01.2019|Wednesday|út
43|04.04.2019|PRG|17:10|FAO|22:10|6:00|1302|PRG|17:10|STN|18:10|Ryanair|388|5|STN|17:10|FAO|22:10|Ryanair|913||30.01.2019|Wednesday|čt
44|03.04.2019|PRG|06:35|FAO|20:55|15:20|1302|PRG|06:35|STN|07:35|Ryanair|388||STN|06:35|FAO|20:55|Ryanair|913||30.01.2019|Wednesday|st
45|11.02.2019|PRG|11:35|FAO|20:20|9:45|1319|PRG|11:35|DUB|13:15|Ryanair|1190||DUB|11:35|FAO|20:20|Ryanair|128||30.01.2019|Wednesday|po
46|20.05.2019|PRG|10:50|FAO|18:55|9:05|864|PRG|10:50|SEN|11:45|easyJet|333|4|SEN|10:50|FAO|18:55|Ryanair|530||30.01.2019|Wednesday|po
47|19.03.2019|PRG|11:35|FAO|18:15|7:40|1163|PRG|11:35|EIN|13:00|Ryanair|338||EIN|11:35|FAO|18:15|Transavia|824||30.01.2019|Wednesday|út
48|16.03.2019|PRG|10:30|FAO|22:05|12:35|996|PRG|10:30|STN|11:30|easyJet|554|5|STN|10:30|FAO|22:05|Ryanair|441|2|30.01.2019|Wednesday|so
49|11.05.2019|PRG|15:10|FAO|22:10|8:00|1011|PRG|15:10|STN|16:05|easyJet|333|2|STN|15:10|FAO|22:10|Ryanair|677||30.01.2019|Wednesday|so
50|29.05.2019|PRG|10:50|FAO|19:50|10:00|1023|PRG|10:50|SEN|11:45|easyJet|493|5|SEN|10:50|FAO|19:50|Ryanair|530||30.01.2019|Wednesday|st
51|12.03.2019|PRG|11:35|FAO|18:15|7:40|1240|PRG|11:35|EIN|13:00|Ryanair|338||EIN|11:35|FAO|18:15|Transavia|901||30.01.2019|Wednesday|út
52|29.04.2019|PRG|10:50|FAO|18:55|9:05|1084|PRG|10:50|SEN|11:45|easyJet|554|1|SEN|10:50|FAO|18:55|Ryanair|530||30.01.2019|Wednesday|po
53|30.03.2019|PRG|10:30|FAO|22:05|12:35|1135|PRG|10:30|STN|11:30|easyJet|341|8|STN|10:30|FAO|22:05|Ryanair|793||30.01.2019|Wednesday|so
54|01.05.2019|PRG|10:50|FAO|19:50|10:00|1145|PRG|10:50|SEN|11:45|easyJet|614|4|SEN|10:50|FAO|19:50|Ryanair|530||30.01.2019|Wednesday|st
55|02.04.2019|PRG|12:25|FAO|21:50|10:25|1149|PRG|12:25|LGW|13:35|easyJet|523|5|LGW|12:25|FAO|21:50|easyJet|625|8|30.01.2019|Wednesday|út
56|18.03.2019|PRG|09:45|FAO|21:30|12:45|1186|PRG|09:45|MAN|11:05|easyJet|1039|8|MAN|09:45|FAO|21:30|Ryanair|147|5|30.01.2019|Wednesday|po
57|29.05.2019|PRG|15:05|FAO|20:55|6:50|1201|PRG|15:05|STN|15:55|easyJet|523|6|STN|15:05|FAO|20:55|Ryanair|677||30.01.2019|Wednesday|st
58|02.04.2019|PRG|12:25|FAO|19:25|8:00|1209|PRG|12:25|LGW|13:35|easyJet|523|5|LGW|12:25|FAO|19:25|easyJet|685|8|30.01.2019|Wednesday|út
59|03.04.2019|PRG|15:05|FAO|20:55|6:50|1217|PRG|15:05|STN|15:55|easyJet|304|2|STN|15:05|FAO|20:55|Ryanair|913||30.01.2019|Wednesday|st
60|30.04.2019|PRG|12:25|FAO|21:50|10:25|1238|PRG|12:25|LGW|13:35|easyJet|796|2|LGW|12:25|FAO|21:50|easyJet|441|1|30.01.2019|Wednesday|út
61|22.05.2019|PRG|10:50|FAO|19:50|10:00|1247|PRG|10:50|SEN|11:45|easyJet|333|4|SEN|10:50|FAO|19:50|Ryanair|913|4|30.01.2019|Wednesday|st
