uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|14.05.2019|PRG|16:15|FAO|22:25|7:10|657|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|148||12.04.2019|Friday|Tuesday
1|15.05.2019|PRG|06:35|FAO|20:55|15:20|833|PRG|06:35|FAO|07:35|Ryanair|388||STN|18:00|FAO|20:55|Ryanair|444|4|12.04.2019|Friday|Wednesday
2|15.05.2019|PRG|11:40|FAO|20:55|10:15|833|PRG|11:40|FAO|12:40|Ryanair|388||STN|18:00|FAO|20:55|Ryanair|444|4|12.04.2019|Friday|Wednesday
3|21.05.2019|PRG|06:35|FAO|18:55|13:20|833|PRG|06:35|FAO|07:35|Ryanair|388||STN|16:00|FAO|18:55|Ryanair|444|1|12.04.2019|Friday|Tuesday
4|14.05.2019|PRG|06:15|FAO|17:50|12:35|901|PRG|06:15|FAO|07:50|Ryanair|388||CRL|15:55|FAO|17:50|Ryanair|512|2|12.04.2019|Friday|Tuesday
5|29.05.2019|PRG|06:35|FAO|20:55|15:20|922|PRG|06:35|FAO|07:35|Ryanair|388||STN|18:00|FAO|20:55|Ryanair|533||12.04.2019|Friday|Wednesday
6|29.05.2019|PRG|06:35|FAO|17:55|12:20|922|PRG|06:35|FAO|07:35|Ryanair|388||STN|15:00|FAO|17:55|Ryanair|533|3|12.04.2019|Friday|Wednesday
7|07.05.2019|PRG|06:15|FAO|17:50|12:35|977|PRG|06:15|FAO|07:50|Ryanair|388||CRL|15:55|FAO|17:50|Ryanair|588||12.04.2019|Friday|Tuesday
8|21.05.2019|PRG|06:15|FAO|17:50|12:35|977|PRG|06:15|FAO|07:50|Ryanair|388||CRL|15:55|FAO|17:50|Ryanair|588||12.04.2019|Friday|Tuesday
9|30.04.2019|PRG|06:35|FAO|18:55|13:20|1019|PRG|06:35|FAO|07:35|Ryanair|634||STN|16:00|FAO|18:55|Ryanair|385||12.04.2019|Friday|Tuesday
10|11.05.2019|PRG|06:35|FAO|22:10|16:35|1019|PRG|06:35|FAO|07:35|Ryanair|486|1|STN|19:15|FAO|22:10|Ryanair|533|2|12.04.2019|Friday|Saturday
11|13.05.2019|PRG|06:35|FAO|18:00|12:25|1019|PRG|06:35|FAO|07:35|Ryanair|486|3|STN|15:05|FAO|18:00|Ryanair|533||12.04.2019|Friday|Monday
12|04.06.2019|PRG|06:15|FAO|17:50|12:35|1029|PRG|06:15|FAO|07:50|Ryanair|388||CRL|15:55|FAO|17:50|Ryanair|640|3|12.04.2019|Friday|Tuesday
13|09.05.2019|PRG|06:15|FAO|15:50|10:35|1057|PRG|06:15|FAO|07:50|Ryanair|388||CRL|13:55|FAO|15:50|Ryanair|668|2|12.04.2019|Friday|Thursday
14|04.06.2019|PRG|16:15|FAO|22:25|7:10|1073|PRG|16:15|FAO|17:20|Wizz Air|628|4|LTN|19:30|FAO|22:25|Ryanair|444||12.04.2019|Friday|Tuesday
15|11.05.2019|PRG|16:15|FAO|22:25|7:10|1073|PRG|16:15|FAO|17:20|Wizz Air|628||LTN|19:30|FAO|22:25|Ryanair|444||12.04.2019|Friday|Saturday
16|25.06.2019|PRG|06:35|FAO|18:55|13:20|1078|PRG|06:35|FAO|07:35|Ryanair|486||STN|16:00|FAO|18:55|Ryanair|592||12.04.2019|Friday|Tuesday
17|29.04.2019|PRG|06:15|FAO|18:15|13:00|1095|PRG|06:15|FAO|07:50|Ryanair|634|1|CRL|16:20|FAO|18:15|Ryanair|460|4|12.04.2019|Friday|Monday
18|12.06.2019|PRG|11:40|FAO|20:55|10:15|1121|PRG|11:40|FAO|12:40|Ryanair|529|5|STN|18:00|FAO|20:55|Ryanair|592||12.04.2019|Friday|Wednesday
19|12.06.2019|PRG|06:35|FAO|20:55|15:20|1121|PRG|06:35|FAO|07:35|Ryanair|529|3|STN|18:00|FAO|20:55|Ryanair|592||12.04.2019|Friday|Wednesday
20|26.06.2019|PRG|07:50|FAO|13:05|6:15|1126|PRG|07:50|FAO|09:15|Ryanair|486||EIN|11:00|FAO|13:05|Ryanair|640|3|12.04.2019|Friday|Wednesday
21|12.06.2019|PRG|08:55|FAO|15:50|7:55|1141|PRG|08:55|FAO|10:30|Ryanair|388|5|CRL|13:55|FAO|15:50|Ryanair|752||12.04.2019|Friday|Wednesday
22|18.06.2019|PRG|06:15|FAO|17:50|12:35|1141|PRG|06:15|FAO|07:50|Ryanair|388||CRL|15:55|FAO|17:50|Ryanair|752|4|12.04.2019|Friday|Tuesday
23|10.05.2019|PRG|06:15|FAO|15:50|10:35|1154|PRG|06:15|FAO|07:50|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|668|3|12.04.2019|Friday|Friday
24|18.06.2019|PRG|16:15|FAO|22:25|7:10|1162|PRG|16:15|FAO|17:20|Wizz Air|628|6|LTN|19:30|FAO|22:25|Ryanair|533||12.04.2019|Friday|Tuesday
25|19.06.2019|PRG|06:35|FAO|20:55|15:20|1167|PRG|06:35|FAO|07:35|Ryanair|486|5|STN|18:00|FAO|20:55|Ryanair|681|5|12.04.2019|Friday|Wednesday
26|18.06.2019|PRG|06:35|FAO|18:55|13:20|1167|PRG|06:35|FAO|07:35|Ryanair|486||STN|16:00|FAO|18:55|Ryanair|681|5|12.04.2019|Friday|Tuesday
27|19.06.2019|PRG|07:50|FAO|13:05|6:15|1169|PRG|07:50|FAO|09:15|Ryanair|529||EIN|11:00|FAO|13:05|Ryanair|640|1|12.04.2019|Friday|Wednesday
