date_of_departure,departure_airport,time_of_departure,arrival_airport,time_of_arrival,flight_duration,flight_fare,departure_airport_flight_1,time_of_departure_flight_1,arrival_airport_flight_1,time_of_arrival_flight_1,airlines_flight_1,flight_fare_flight_1,seats_for_lower_price_flight_1,departure_airport_flight_2,time_of_departure_flight_2,arrival_airport_flight_2,time_of_arrival_flight_2,airlines_flight_2,flight_fare_flight_2,seats_for_lower_price_flight_2
út 26.03.2019,PRG,11:35,FAO,21:35 Faro ,11:00 h / 1 přestup,672 Kč,PRG,11:35,FAO,13:00 Eindhoven ,Ryanair,339 Kč,       ,EIN,út 19:30 Eindhoven ,FAO,21:35 Faro ,Ryanair,333 Kč,       
st 03.04.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,825 Kč,PRG,07:50,FAO,09:15 Eindhoven ,Ryanair,389 Kč,       ,EIN,st 11:00 Eindhoven ,FAO,13:05 Faro ,Ryanair,436 Kč,       
po 01.04.2019,PRG,14:15,FAO,20:10 Faro ,6:55 h / 1 přestup,1013 Kč,PRG,14:15,FAO,15:25 Liverpool ,Ryanair,485 Kč,       ,LPL,po 17:15 Liverpool ,FAO,20:10 Faro ,Ryanair,527 Kč,       
út 12.03.2019,PRG,11:35,FAO,21:35 Faro ,11:00 h / 1 přestup,1051 Kč,PRG,11:35,FAO,13:00 Eindhoven ,Ryanair,339 Kč,       ,EIN,út 19:30 Eindhoven ,FAO,21:35 Faro ,Ryanair,712 Kč,       
út 19.03.2019,PRG,11:35,FAO,21:35 Faro ,11:00 h / 1 přestup,1051 Kč,PRG,11:35,FAO,13:00 Eindhoven ,Ryanair,339 Kč,       ,EIN,út 19:30 Eindhoven ,FAO,21:35 Faro ,Ryanair,712 Kč,2       
út 26.03.2019,PRG,07:20,FAO,22:05 Faro ,15:45 h / 1 přestup,1057 Kč,PRG,07:20,FAO,08:30 Londýn ,Ryanair,676 Kč,       ,Londýn (Stansted) STN,út 19:10 Londýn ,FAO,22:05 Faro ,Ryanair,380 Kč,       
st 13.03.2019,PRG,07:20,FAO,22:05 Faro ,15:45 h / 1 přestup,1057 Kč,PRG,07:20,FAO,08:30 Londýn ,Ryanair,676 Kč,1       ,Londýn (Stansted) STN,st 19:10 Londýn ,FAO,22:05 Faro ,Ryanair,380 Kč,1       
út 19.03.2019,PRG,07:20,FAO,22:05 Faro ,15:45 h / 1 přestup,1057 Kč,PRG,07:20,FAO,08:30 Londýn ,Ryanair,676 Kč,1       ,Londýn (Stansted) STN,út 19:10 Londýn ,FAO,22:05 Faro ,Ryanair,380 Kč,1       
út 02.04.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1059 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,389 Kč,       ,Brusel (Charleroi) CRL,út 15:15 Brusel ,FAO,17:10 Faro ,Ryanair,670 Kč,3       
út 21.05.2019,PRG,16:15,FAO,22:25 Faro ,7:10 h / 1 přestup,1094 Kč,PRG,16:15,FAO,17:20 Londýn ,Wizz Air,509 Kč,4       ,Londýn (Luton) LTN,út 19:30 Londýn ,FAO,22:25 Faro ,Ryanair,585 Kč,       
út 26.02.2019,PRG,11:35,FAO,21:35 Faro ,11:00 h / 1 přestup,1101 Kč,PRG,11:35,FAO,13:00 Eindhoven ,Ryanair,389 Kč,       ,EIN,út 19:30 Eindhoven ,FAO,21:35 Faro ,Ryanair,712 Kč,1       
st 12.06.2019,PRG,06:35,FAO,20:55 Faro ,15:20 h / 1 přestup,1114 Kč,PRG,06:35,FAO,07:35 Londýn ,Ryanair,529 Kč,       ,Londýn (Stansted) STN,st 18:00 Londýn ,FAO,20:55 Faro ,Ryanair,585 Kč,       
út 18.06.2019,PRG,06:35,FAO,18:55 Faro ,13:20 h / 1 přestup,1114 Kč,PRG,06:35,FAO,07:35 Londýn ,Ryanair,529 Kč,3       ,Londýn (Stansted) STN,út 16:00 Londýn ,FAO,18:55 Faro ,Ryanair,585 Kč,       
