uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|30.04.2019|PRG|06:15|FAO|17:50|12:35|799|PRG|06:15|FAO|07:50|Ryanair|338||CRL|15:55|FAO|17:50|Ryanair|460|4|11.04.2019|Thursday|Tuesday
1|11.05.2019|PRG|06:35|FAO|22:10|16:35|1021|PRG|06:35|FAO|07:35|Ryanair|486|5|STN|19:15|FAO|22:10|Ryanair|535||11.04.2019|Thursday|Saturday
2|14.05.2019|PRG|06:35|FAO|18:55|13:20|1021|PRG|06:35|FAO|07:35|Ryanair|486|2|STN|16:00|FAO|18:55|Ryanair|535||11.04.2019|Thursday|Tuesday
3|15.05.2019|PRG|06:35|FAO|20:55|15:20|1021|PRG|06:35|FAO|07:35|Ryanair|486||STN|18:00|FAO|20:55|Ryanair|535||11.04.2019|Thursday|Wednesday
4|15.05.2019|PRG|11:40|FAO|20:55|10:15|1021|PRG|11:40|FAO|12:40|Ryanair|486||STN|18:00|FAO|20:55|Ryanair|535||11.04.2019|Thursday|Wednesday
5|21.05.2019|PRG|06:15|FAO|17:50|12:35|1074|PRG|06:15|FAO|07:50|Ryanair|486||CRL|15:55|FAO|17:50|Ryanair|588||11.04.2019|Thursday|Tuesday
6|14.05.2019|PRG|06:15|FAO|17:50|12:35|1074|PRG|06:15|FAO|07:50|Ryanair|486||CRL|15:55|FAO|17:50|Ryanair|588|3|11.04.2019|Thursday|Tuesday
7|04.06.2019|PRG|06:15|FAO|17:50|12:35|1126|PRG|06:15|FAO|07:50|Ryanair|486||CRL|15:55|FAO|17:50|Ryanair|640|3|11.04.2019|Thursday|Tuesday
8|10.05.2019|PRG|06:15|FAO|15:50|10:35|1154|PRG|06:15|FAO|07:50|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|668|3|11.04.2019|Thursday|Friday
9|09.05.2019|PRG|06:15|FAO|15:50|10:35|1154|PRG|06:15|FAO|07:50|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|668|2|11.04.2019|Thursday|Thursday
10|18.06.2019|PRG|16:15|FAO|22:25|7:10|1164|PRG|16:15|FAO|17:20|Wizz Air|629|6|LTN|19:30|FAO|22:25|Ryanair|535||11.04.2019|Thursday|Tuesday
11|04.06.2019|PRG|16:15|FAO|22:25|7:10|1164|PRG|16:15|FAO|17:20|Wizz Air|629|4|LTN|19:30|FAO|22:25|Ryanair|535||11.04.2019|Thursday|Tuesday
12|26.06.2019|PRG|07:50|FAO|13:05|6:15|1169|PRG|07:50|FAO|09:15|Ryanair|529||EIN|11:00|FAO|13:05|Ryanair|640|3|11.04.2019|Thursday|Wednesday
13|19.06.2019|PRG|07:50|FAO|13:05|6:15|1169|PRG|07:50|FAO|09:15|Ryanair|529||EIN|11:00|FAO|13:05|Ryanair|640|1|11.04.2019|Thursday|Wednesday
14|15.05.2019|PRG|10:50|FAO|19:50|10:00|728|PRG|10:50|FAO|11:45|easyJet|342|8|SEN|17:05|FAO|19:50|Ryanair|386||11.04.2019|Thursday|Wednesday
15|13.05.2019|PRG|06:35|FAO|18:00|12:25|1211|PRG|06:35|FAO|07:35|Ryanair|676|5|STN|15:05|FAO|18:00|Ryanair|535||11.04.2019|Thursday|Monday
16|29.05.2019|PRG|06:35|FAO|20:55|15:20|1211|PRG|06:35|FAO|07:35|Ryanair|676||STN|18:00|FAO|20:55|Ryanair|535||11.04.2019|Thursday|Wednesday
17|29.05.2019|PRG|06:35|FAO|17:55|12:20|1211|PRG|06:35|FAO|07:35|Ryanair|676||STN|15:00|FAO|17:55|Ryanair|535|3|11.04.2019|Thursday|Wednesday
18|25.06.2019|PRG|06:35|FAO|18:55|13:20|1212|PRG|06:35|FAO|07:35|Ryanair|529||STN|16:00|FAO|18:55|Ryanair|683||11.04.2019|Thursday|Tuesday
19|19.06.2019|PRG|06:35|FAO|20:55|15:20|1212|PRG|06:35|FAO|07:35|Ryanair|529|5|STN|18:00|FAO|20:55|Ryanair|683|5|11.04.2019|Thursday|Wednesday
